crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
bogorodica-evzoni,2026-06-18T22:25,5,5 min,anonymous_,2026-06-18T20:31:53+00:00
bogorodica-evzoni,2026-06-18T22:44,15,15 min,anonymous,2026-06-18T20:47:01+00:00
bogorodica-evzoni,2026-06-18T23:55,10,10 min,anonymous_,2026-06-18T22:02:29+00:00
bogorodica-evzoni,2026-06-19T00:57,5,5 min,anonymous_,2026-06-18T23:09:03+00:00
bogorodica-evzoni,2026-06-19T01:53,15,15 min,anonymous_,2026-06-19T00:09:29+00:00
bogorodica-evzoni,2026-06-19T02:55,10,10 min,anonymous_,2026-06-19T01:14:01+00:00
bogorodica-evzoni,2026-06-19T03:56,5,5 min,anonymous_,2026-06-19T02:14:20+00:00
bogorodica-evzoni,2026-06-19T04:53,10,10 min,anonymous_,2026-06-19T03:14:40+00:00
bogorodica-evzoni,2026-06-19T05:57,5,5 min,anonymous_,2026-06-19T04:15:01+00:00
bogorodica-evzoni,2026-06-19T06:54,10,10 min,anonymous_,2026-06-19T05:00:25+00:00
bogorodica-evzoni,2026-06-19T07:40,5,5 min,anonymous,2026-06-19T05:45:00+00:00
bogorodica-evzoni,2026-06-19T07:31,60,60 min,anonymous,2026-06-19T05:45:00+00:00
bogorodica-evzoni,2026-06-19T08:02,60,60 min,anonymous,2026-06-19T06:15:22+00:00
bogorodica-evzoni,2026-06-19T08:47,5,5 min,anonymous,2026-06-19T07:00:41+00:00
bogorodica-evzoni,2026-06-19T09:14,120,2 h,anonymous,2026-06-19T07:15:47+00:00
bogorodica-evzoni,2026-06-19T09:39,90,1.5 h,anonymous,2026-06-19T07:46:01+00:00
bogorodica-evzoni,2026-06-19T09:31,50,50 min,anonymous,2026-06-19T07:46:01+00:00
bogorodica-evzoni,2026-06-19T10:58,60,60 min,anonymous_,2026-06-19T09:01:35+00:00
bogorodica-evzoni,2026-06-19T11:04,55,55 min,Ivana,2026-06-19T09:16:41+00:00
bogorodica-evzoni,2026-06-19T11:40,20,20 min,anonymous,2026-06-19T09:46:54+00:00
bogorodica-evzoni,2026-06-19T12:38,25,25 min,anonymous,2026-06-19T10:49:59+00:00
bogorodica-evzoni,2026-06-19T13:18,150,2.5 h,anonymous,2026-06-19T11:20:10+00:00
bogorodica-evzoni,2026-06-19T13:34,300,5 h,anonymous,2026-06-19T11:35:15+00:00
bogorodica-evzoni,2026-06-19T14:31,90,1.5 h,anonymous,2026-06-19T12:35:37+00:00
bogorodica-evzoni,2026-06-19T14:41,25,25 min,anonymous,2026-06-19T12:50:42+00:00
bogorodica-evzoni,2026-06-19T14:52,5,5 min,anonymous,2026-06-19T13:05:48+00:00
bogorodica-evzoni,2026-06-19T15:57,10,10 min,anonymous_,2026-06-19T14:03:22+00:00
bogorodica-evzoni,2026-06-19T16:57,5,5 min,anonymous_,2026-06-19T15:03:44+00:00
bogorodica-evzoni,2026-06-19T17:39,35,35 min,anonymous,2026-06-19T15:49:01+00:00
bogorodica-evzoni,2026-06-19T18:01,35,35 min,anonymous,2026-06-19T16:04:29+00:00
bogorodica-evzoni,2026-06-19T19:28,30,30 min,anonymous_,2026-06-19T17:41:06+00:00
bogorodica-evzoni,2026-06-19T19:59,25,25 min,anonymous,2026-06-19T18:11:19+00:00
bogorodica-evzoni,2026-06-19T19:57,25,25 min,anonymous,2026-06-19T18:11:19+00:00
bogorodica-evzoni,2026-06-19T20:56,20,20 min,anonymous_,2026-06-19T19:05:46+00:00
bogorodica-evzoni,2026-06-19T21:16,15,15 min,anonymous,2026-06-19T19:20:52+00:00
bogorodica-evzoni,2026-06-19T21:15,10,10 min,anonymous,2026-06-19T19:20:52+00:00
bogorodica-evzoni,2026-06-19T21:39,10,10 min,anonymous,2026-06-19T19:51:06+00:00
bogorodica-evzoni,2026-06-19T22:53,5,5 min,anonymous_,2026-06-19T21:10:51+00:00
bogorodica-evzoni,2026-06-19T23:58,10,10 min,anonymous,2026-06-19T22:09:01+00:00
bogorodica-evzoni,2026-06-20T00:53,5,5 min,anonymous_,2026-06-19T23:11:10+00:00
bogorodica-evzoni,2026-06-20T01:58,10,10 min,anonymous_,2026-06-20T00:09:56+00:00
bogorodica-evzoni,2026-06-20T02:59,5,5 min,anonymous_,2026-06-20T01:10:18+00:00
bogorodica-evzoni,2026-06-20T03:54,10,10 min,anonymous_,2026-06-20T02:10:39+00:00
bogorodica-evzoni,2026-06-20T04:34,20,20 min,anonymous,2026-06-20T02:40:50+00:00
bogorodica-evzoni,2026-06-20T04:45,45,45 min,anonymous,2026-06-20T02:55:56+00:00
bogorodica-evzoni,2026-06-20T05:07,15,15 min,anonymous,2026-06-20T03:11:02+00:00
