crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
batrovci-bajakovo,2026-03-19T10:08,59,59 min,user19,2026-03-19T09:08:03+00:00
batrovci-bajakovo,2026-03-19T10:38,68,68 min,user19,2026-03-19T09:38:03+00:00
batrovci-bajakovo,2026-03-19T11:28,68,68 min,user19,2026-03-19T10:28:02+00:00
batrovci-bajakovo,2026-03-19T11:49,68,68 min,user19,2026-03-19T10:49:03+00:00
batrovci-bajakovo,2026-03-19T12:08,68,68 min,user19,2026-03-19T11:08:03+00:00
batrovci-bajakovo,2026-03-19T12:38,68,68 min,user19,2026-03-19T11:38:03+00:00
batrovci-bajakovo,2026-03-19T13:28,68,68 min,user19,2026-03-19T12:28:03+00:00
batrovci-bajakovo,2026-03-19T13:49,68,68 min,user19,2026-03-19T12:49:04+00:00
batrovci-bajakovo,2026-03-19T14:08,68,68 min,user19,2026-03-19T13:08:02+00:00
batrovci-bajakovo,2026-03-19T14:38,68,68 min,user19,2026-03-19T13:38:04+00:00
batrovci-bajakovo,2026-03-19T15:28,59,59 min,user19,2026-03-19T14:28:03+00:00
batrovci-bajakovo,2026-03-19T15:49,59,59 min,user19,2026-03-19T14:49:03+00:00
batrovci-bajakovo,2026-03-19T16:53,58,58 min,user147,2026-03-19T16:00:09+00:00
batrovci-bajakovo,2026-03-19T17:28,59,59 min,user19,2026-03-19T16:28:04+00:00
batrovci-bajakovo,2026-03-19T17:49,59,59 min,user19,2026-03-19T16:49:04+00:00
batrovci-bajakovo,2026-03-19T18:08,59,59 min,user19,2026-03-19T17:08:04+00:00
batrovci-bajakovo,2026-03-19T18:38,59,59 min,user19,2026-03-19T17:38:04+00:00
batrovci-bajakovo,2026-03-19T19:28,59,59 min,user19,2026-03-19T18:28:04+00:00
batrovci-bajakovo,2026-03-19T19:49,59,59 min,user19,2026-03-19T18:49:04+00:00
batrovci-bajakovo,2026-03-19T20:08,59,59 min,user19,2026-03-19T19:08:04+00:00
batrovci-bajakovo,2026-03-19T20:38,59,59 min,user19,2026-03-19T19:38:04+00:00
batrovci-bajakovo,2026-03-19T21:28,59,59 min,user19,2026-03-19T20:28:05+00:00
batrovci-bajakovo,2026-03-19T21:49,59,59 min,user19,2026-03-19T20:49:04+00:00
batrovci-bajakovo,2026-03-19T22:56,58,58 min,user147,2026-03-19T22:00:08+00:00
batrovci-bajakovo,2026-03-19T23:53,60,60 min,user147,2026-03-19T23:00:08+00:00
batrovci-bajakovo,2026-03-20T00:53,59,59 min,user147,2026-03-20T00:00:09+00:00
batrovci-bajakovo,2026-03-20T01:53,58,58 min,user147,2026-03-20T01:00:08+00:00
batrovci-bajakovo,2026-03-20T02:54,59,59 min,user147,2026-03-20T02:00:08+00:00
batrovci-bajakovo,2026-03-20T03:55,58,58 min,user147,2026-03-20T03:00:08+00:00
batrovci-bajakovo,2026-03-20T04:57,60,60 min,user147,2026-03-20T04:00:08+00:00
batrovci-bajakovo,2026-03-20T05:57,59,59 min,user147,2026-03-20T05:00:08+00:00
batrovci-bajakovo,2026-03-20T06:57,58,58 min,user147,2026-03-20T06:00:09+00:00
batrovci-bajakovo,2026-03-20T07:56,60,60 min,user147,2026-03-20T07:00:08+00:00
batrovci-bajakovo,2026-03-20T08:38,63,63 min,user19,2026-03-20T07:38:03+00:00
batrovci-bajakovo,2026-03-20T09:28,63,63 min,user19,2026-03-20T08:28:03+00:00
batrovci-bajakovo,2026-03-20T09:49,63,63 min,user19,2026-03-20T08:49:03+00:00
batrovci-bajakovo,2026-03-20T10:08,63,63 min,user19,2026-03-20T09:08:03+00:00
batrovci-bajakovo,2026-03-20T10:38,63,63 min,user19,2026-03-20T09:38:03+00:00
batrovci-bajakovo,2026-03-20T11:28,63,63 min,user19,2026-03-20T10:28:03+00:00
batrovci-bajakovo,2026-03-20T11:49,63,63 min,user19,2026-03-20T10:49:03+00:00
batrovci-bajakovo,2026-03-20T12:08,68,68 min,user19,2026-03-20T11:08:04+00:00
batrovci-bajakovo,2026-03-20T12:38,68,68 min,user19,2026-03-20T11:38:04+00:00
batrovci-bajakovo,2026-03-20T13:28,68,68 min,user19,2026-03-20T12:28:05+00:00
batrovci-bajakovo,2026-03-20T13:49,68,68 min,user19,2026-03-20T12:49:04+00:00
batrovci-bajakovo,2026-03-20T14:08,68,68 min,user19,2026-03-20T13:08:04+00:00
batrovci-bajakovo,2026-03-20T14:38,68,68 min,user19,2026-03-20T13:38:04+00:00
batrovci-bajakovo,2026-03-20T15:28,68,68 min,user19,2026-03-20T14:28:04+00:00
batrovci-bajakovo,2026-03-20T15:49,68,68 min,user19,2026-03-20T14:49:05+00:00
batrovci-bajakovo,2026-03-20T16:08,68,68 min,user19,2026-03-20T15:08:04+00:00
batrovci-bajakovo,2026-03-20T16:38,68,68 min,user19,2026-03-20T15:38:05+00:00
